Model,Property,R²,MAE,RMSE
XGB,Eg,0.385099757281963,0.07233309971945624,0.10617612412722503
RF,Eg,0.3833377862734465,0.07186584888130845,0.10632813693697749
SVR,Eg,0.3574410842794473,0.0704795761939601,0.10853779950964018
LR,Eg,-0.04493829995008536,0.09136416161300015,0.13841076190188803
NN_Multi,Eg,-0.1258326408337549,0.1027456689047435,0.14366846558456056
NN,Eg,-3.726158040178845,0.2662833342991178,0.2943599059871659
RF,HOMO,0.38425900931374,0.07498215528207397,0.10270243692893191
XGB,HOMO,0.36504759241248663,0.07659814495510525,0.10429231381558482
SVR,HOMO,0.31668177716531765,0.07733715871298082,0.1081915186731021
LR,HOMO,-0.1427039857709691,0.09122679840602442,0.13990994527970718
NN_Multi,HOMO,-5.410484362794749,0.24364313755338157,0.33138064445010484
NN,HOMO,-12.090502707347882,0.41225387997097435,0.4735434981648057
RF,LUMO,0.219182685816386,0.09760784517079876,0.12930979077127608
XGB,LUMO,0.20655495752278918,0.09803851230560785,0.13035122503006222
SVR,LUMO,0.1950709234409036,0.10269460950514925,0.13129116420245848
LR,LUMO,-0.2754549839889173,0.11802810486745052,0.16526818555782247
NN_Multi,LUMO,-1.811511688500167,0.18558381104847743,0.24537292397338437
NN,LUMO,-6.393407122146168,0.3448877998533703,0.39790463884984956
